Borough;Neighborhood;;;;
Фрунзенский район;Сухарево;;;;
Фрунзенский район;Запад;;;;
Фрунзенский район;Красный Бор;;;;
Фрунзенский район;Медвежино;;;;
Фрунзенский район;Кунцевщина;;;;
Фрунзенский район;Каменная Горка;;;;
Фрунзенский район;Домбровка;;;;
Фрунзенский район;Масюковщина;;;;
Фрунзенский район;Раковское шоссе;;;;
Фрунзенский район;Промузел Западный;;;;
Фрунзенский район;Каскад;;;;
Фрунзенский район;Тивали;;;;
Фрунзенский район;Харьковская;;;;
Фрунзенский район;Дегтяревка;;;;
Московский район;Грушевка;;;;
Московский район;Михалово;;;;
Московский район;Петровщина;;;;
Московский район;Малиновка;;;;
Московский район;Брилевичи;;;;
Московский район;Семашко;;;;
Московский район;Филиал БГУ;;;;
Московский район;Юго-Запад;;;;
Октябрьский район;Курасовщина;;;;
Октябрьский район;Аэродромная;;;;
Октябрьский район;Колядичи;;;;
Октябрьский район;Минск-Сити;;;;
Октябрьский район;Серова;;;;
Заводской район;Чижовка;;;;
Заводской район;Шабаны;;;;
Заводской район;Ангарская;;;;
Заводской район;Северный поселок;;;;
Заводской район;Малый Тростенец;;;;
Заводской район;Сосны;;;;
Партизанский район;Слепянка;;;;
Партизанский район;Степянка;;;;
Партизанский район;Дражня;;;;
Партизанский район;Пулихова;;;;
Партизанский район;Сокол;;;;
Центральный район;Ржавец;;;;
Центральный район;Новинки;;;;
Центральный район;Веснянка;;;;
Центральный район;Верхний город;;;;
Центральный район;Ждановичи;;;;
Центральный район;Заславская;;;;
Центральный район;Зацень;;;;
Центральный район;Лебяжий;;;;
Центральный район;поселок Радужный;;;;
Центральный район;Сторожовка;;;;
Центральный район;Троицкое предместье;;;;
Центральный район;Цнянка;;;;
Советский район;Зеленый луг;;;;
Советский район;Комаровка;;;;
Советский район;Сельхозпоселок;;;;
Советский район;Цна;;;;
Советский район;Боровляны;;;;
Ленинский район;Лошица;;;;
Ленинский район;Серебрянка;;;;
Первомайский район;Уручье;;;;
Первомайский район;Восток;;;;
Первомайский район;Озерище;;;;
Первомайский район;Восточный;;;;
Первомайский район;Академгородок;;;;
Первомайский район;Академия наук;;;;
Первомайский район;Боровая;;;;
